allele	status	v15_system	current_system	v15_phenotype	current_phenotype
JK*01N.17	added	JK		JK:-3 or Jk(a-b-)	
JK*01N.18	added	JK		JK:-3 or Jk(a-b-)	
JK*01N.19	added	JK		JK:-3 or Jk(a-b-)	
JK*01N.20	added	JK		JK:-3 or Jk(a-b-)	
JK*01N.21	added	JK		JK:-3 or Jk(a-b-)	
JK*01N.22	added	JK		JK:-3 or Jk(a-b-)	
JK*01N.23	added	JK		JK:-3 or Jk(a-b-)	
JK*01N.24	added	JK		JK:-3 or Jk(a-b-)	
JK*01N.25	added	JK		JK:-3 or Jk(a-b-)	
JK*01N.26	added	JK		JK:-3 or Jk(a-b-)	
JK*01N.27	added	JK		Jk(a-)	
JK*01N.28	added	JK		Jk(a-)	
JK*01N.29	added	JK		JK(a-), JK3-	
JK*01N.30	added	JK		JK(a-), JK3-	
JK*01N.32	added	JK		Jk(a-)	
JK*01W.06	added	JK		Jk(a+w)	
JK*01W.07	added	JK		Jk(a+w)	
JK*01W.08	added	JK		Jk(a+w)	
JK*01W.09	added	JK		Jk(a+w)	
JK*01W.10	added	JK		Jk(a+w)	
JK*01W.11	added	JK		Jk(a+w)	
JK*01W.12	added	JK		Jk(a+w)	
JK*01W.13	added	JK		Jk(a+)	
JK*02N.14	added	JK		JK:-3 or Jk(a-b-)	
JK*02N.15	added	JK		JK:-3 or Jk(a-b-)	
JK*02N.16	added	JK		JK:-3 or Jk(a-b-)	
JK*02N.17	added	JK		JK:-3 or Jk(a-b-)	
JK*02N.18	added	JK		JK:-3 or Jk(a-b-)	
JK*02N.19	added	JK		JK:-3 or Jk(a-b-)	
JK*02N.20	added	JK		JK:-3 or Jk(a-b-)	
JK*02N.21	added	JK		JK:-3 or Jk(a-b-)	
JK*02N.22	added	JK		JK:-3 or Jk(a-b-)	
JK*02N.23	added	JK		JK:–3 or Jk(a-b-)	
JK*02N.24	added	JK		JK:–3 or Jk(a-b-)	
JK*02N.25	added	JK		JK:–3 or Jk(a-b-)	
JK*02N.26	added	JK		JK:-3 or Jk(a-b-)	
JK*02N.27	added	JK		JK(b-), JK3-	
JK*02N.28	added	JK		Jk(b-)	
JK*02N.29	added	JK		Jk(b-), JK3-	
JK*02N.30	added	JK		Jk(b-)	
JK*02W.03	added	JK		Jk(b+w)	
JK*02W.04	added	JK		Jk(b+w)	
JK*02W.05	added	JK		Jk(b+w)	
JK*02W.06	added	JK		Jk(b+w)	
JMH*01.-07	added	JMH		JMH: –7 or JMHN–	
JMH*01.-08	added	JMH		JMH: -8 or JMHA-	
KANNO*01	added	KANNO		KANNO:1 or KANNO1+	
KANNO*01.-01	added	KANNO		KANNO:-1 or KANNO1-	
KEL*01.03	added	KEL		KEL:1weak,3 or K+w, Kp(a+)	
KEL*01M.02	added	KEL		Kmod	
KEL*01M.03	added	KEL		Kmod	
KEL*01M.04	added	KEL		Kmod	
KEL*01M.05	added	KEL		Kmod	
KEL*01M.06	added	KEL		Kmod	
KEL*01N.03	added	KEL		K0	
KEL*01N.04	added	KEL		K0	
KEL*02.02	added	KEL		KEL:2 or k+	
KEL*02.39	added	KEL		KEL:-37,39 or KHUL-,KEAL+	
KEL*02.41	added	KEL		KEL:-40, 41 or KHIZ-, KHOZ+	
KEL*02M.12	added	KEL		Kmod	
KEL*02M.13	added	KEL		Kmod	
KEL*02M.14	added	KEL		Kmod	
KEL*02M.15	added	KEL		Kmod	
KEL*02M.16	added	KEL		Kmod	
KEL*02M.17	added	KEL		Kmod	
KEL*02M.18	added	KEL		Kmod	
KEL*02M.19	added	KEL		Kmod	
KEL*02N.30	added	KEL		K0	
KEL*02N.31	added	KEL		K0	
KEL*02N.32	added	KEL		K0	
KEL*02N.33	added	KEL		K0	
KEL*02N.34	added	KEL		K0	
KEL*02N.35	added	KEL		K0	
KEL*02N.36	added	KEL		K0	
KEL*02N.37	added	KEL		K0	
KEL*02N.38	added	KEL		K0	
KEL*02N.39	added	KEL		K0	
KEL*02N.40	added	KEL		K0	
KEL*02N.41	added	KEL		K0	
KEL*02N.42	added	KEL		K0	
KEL*02N.43	added	KEL		K0	
KEL*02N.44	added	KEL		K0	
KEL*02N.45	added	KEL		K0	
KEL*02N.46	added	KEL		K0	
KEL*02N.47	added	KEL		K0	
KEL*02N.48	added	KEL		K0	
KEL*02N.49	added	KEL		K0	
KEL*02N.50	added	KEL		K0	
KEL*02N.51	added	KEL		K0	
KEL*02N.52	added	KEL		K0	
KEL*02N.53	added	KEL		K0	
KEL*02N.54	added	KEL		K0	
KEL*02N.55	added	KEL		K0	
KEL*02N.56	added	KEL		K0	
KEL*02N.57	added	KEL		K0	
KEL*02N.58	added	KEL		K0	
KEL*02N.59	added	KEL		K0	
KEL*02N.60	added	KEL		K0	
KEL*02N.61	added	KEL		K0	
KEL*02N.62	added	KEL		K0	
KEL*02N.63	added	KEL		K0	
KEL*02N.64	added	KEL		K0	
KEL*02N.65	added	KEL		K0	
KEL*02N.66	added	KEL		K0	
KEL*02N.67	added	KEL		K0	
KLF*BGM66	added	KLF1		In(Lu)	
KLF*BGM67	added	KLF1		In(Lu)	
